,Unnamed: 0,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
345,346,204011900.0,,200000000,"['Mathieu Amalric', 'Daniel Craig', 'Olga Kurylenko', 'Judi Dench', 'Gemma Arterton', 'Jeffrey Wright']",Marc Forster,,,David Arnold,James Bond,Quantum of Solace,168368427.0,,2008-11-14 00:00:00,106.0,PG-13,Action
346,347,221229500.0,,150000000,"['Daniel Craig', 'Judi Dench', 'Eva Green', 'Jeffrey Wright', 'Mads Mikkelsen', 'Caterina Murino']",Martin Campbell,,,David Arnold,James Bond,Casino Royale,167445960.0,,2006-11-17 00:00:00,144.0,PG-13,Action
347,348,239981100.0,,142000000,"['Rosamund Pike', 'Pierce Brosnan', 'Halle Berry', 'Judi Dench', 'Madonna* (Cameo)']",Lee Tamahori,,,David Arnold,James Bond,Die Another Day,160942139.0,,2002-11-22 00:00:00,123.0,PG-13,Action
348,349,216228100.0,,135000000,"['Pierce Brosnan', 'Judi Dench', 'Denise Richards']",Michael Apted,,,David Arnold,James Bond,The World Is Not Enough,126943684.0,,1999-11-19 00:00:00,128.0,PG-13,Action
349,350,234127300.0,,,"['Pierce Brosnan', 'Jonathan Pryce', 'Michelle Yeoh', 'Teri Hatcher', 'Judi Dench', 'Gerard Butler*']",,,,David Arnold,James Bond,Tomorrow Never Dies,125304276.0,,1997-12-19 00:00:00,119.0,PG-13,Action
350,351,212314300.0,,,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker', 'Judi Dench']",Martin Campbell,,,,James Bond,GoldenEye,106429941.0,,1995-11-17 00:00:00,130.0,PG-13,Action
351,352,243697400.0,,,,,,Michael G. Wilson (executive),,James Bond,Moonraker,70308099.0,,1979-06-29 00:00:00,126.0,PG,Action
352,353,187515700.0,,,,,Michael G. Wilson,Michael G. Wilson (executive),,James Bond,Octopussy,67893619.0,,1983-06-10 00:00:00,131.0,PG,Action
353,354,650760000.0,,,,,,,,James Bond,Thunderball,63595658.0,,1965-12-21 00:00:00,129.0,PG,Action
354,355,,,,,,Michael G. Wilson,Michael G. Wilson,,James Bond,The Living Daylights,51185897.0,,1987-07-31 00:00:00,131.0,PG,Action
355,356,576810000.0,,,,,,,,James Bond,Goldfinger,51081062.0,,1964-12-22 00:00:00,108.0,PG,Action
