date,speaker,url,party,state,topic
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S210-1,D,MA,unknown
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S215-2,D,MA,keystone pipeline
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S215-2,D,MA,keystone pipeline
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S215-2,D,MA,keystone pipeline
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S215-2,D,MA,keystone pipeline
2015-01-13,MARKEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S215-2,D,MA,keystone pipeline
